,,Source: data.va.gov,,,
Infrastructure,OEI,VA Facilities Aggregated and Order FY2024,/resource/unhx-5tdv.json,getVaFacilitiesAggregatedFY2024,"VA facility counts by type and state (including territories) for FY2024, supporting state-level summaries and capacity analyses. Last updated July 19, 2024."
Benefits & Claims,OEI,"VA Pension Recipients as a Percentage of Veteran Population by State for FY2019, FY2020, FY2021, and FY2023",/resource/n849-uby9.json,getPensionRecipientsPercentByState,"Provides percentage of Veterans receiving VA pension benefits by state at the end of FY2019, FY2020, FY2021, and FY2023. Percentages rounded to the nearest tenth. FY2022 data not available. Last updated September 18, 2024."
Benefits & Claims,OEI,Veteran Compensation Expenditures By State of Residence and Age Group FY 2024,/resource/ibas-uwj3.json,getCompensationExpendituresByStateAndAgeFY2024,"Provides counts of Veterans on the rolls for Compensation Service in FY2024 with estimated monthly and annual expenditures by state and age group. Categories with fewer than 10 Veterans are excluded to protect privacy. Last updated May 28, 2025."
Benefits & Claims,OEI,Veteran Pension Expenditures By State of Residence and Age Group FY 2024,/resource/sbtk-kfnm.json,getPensionExpendituresByStateAndAgeFY2024,"Provides counts of Veterans on the rolls for Pension benefits in FY2024 with estimated monthly and annual expenditures by state and age group. Categories with fewer than 10 Veterans are excluded to protect privacy. Last updated May 2, 2025."
Demographics,OEI,Veterans Class of Work,/resource/ahvc-pqda.json,getVeteransClassOfWork,"Provides frequency and percentage distribution of Veterans by class of work as of FY2024. Dataset includes categories of employment and corresponding proportions. Last updated May 2, 2025."
Demographics,OEI,Veterans Class of Work in Government,/resource/mqrh-hcwr.json,getVeteransGovClassOfWork,"Provides the total count and percentage of Veterans working in government positions as of FY2024. Last updated May 2, 2025."
Home Loan Benefits,OEI,Veterans who participated in VA Home Loan Guaranty Program,/resource/ey9g-uxvm.json,getHomeLoanParticipation,"Provides the number and percentage of Veterans with active, new, or re-financed VA-guaranteed home loans by state and year. Last updated March 23, 2021."
VR&E,OEI,Veterans who participated in various stages of the Vocational Rehabilitation and Employment program,/resource/y94k-kvst.json,getVocRehabParticipation,"Provides the number and percentage of Veterans participating in Vocational Rehabilitation and Employment programs by state and year. Last updated March 23, 2021."
Benefits & Claims,OEI,A Veteran user is defined as any Veteran who received or used at least one VA benefit or service during the fiscal year. Each Veteran is counted only once regardless of number of benefits used.,/resource/4z73-eybg.json,getVaBenefitUsage,Returns the number and percent of Veterans who used any VA benefit by state and year. Last updated March 23
Benefits & Claims,OEI,"All Veterans who received VA disability compensation or pension payments, including Special Adaptive Housing benefits, but excluding those with pending or denied claims.",/resource/hw7z-nyrk.json,getDisabilityCompensationUsage,"Returns the number and percent of Veterans who used VA Disability Compensation by state and year. Last updated March 23, 2021."
Education Benefits,OEI,"All Veterans who received benefits for Chapters 30, 32, 33, 1606, and 1607 education programs. Veterans Benefits Administration (VBA) provides Education Assistance.",/resource/ytxn-wfc3.json,getEducationBenefitUsage,"Returns the number and percent of Veterans who used GI Bill Education Benefits by state and year. Last updated March 23, 2021."
